Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Duration
681,156,1,2020-12-18--2020-12-25,Rudolph The Red-Nosed Reindeer,"72,27,612",Dean Martin,1139096,2L9QLAhrvtP4EYg1lY0Tnw,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",01-01-1959,2020-12-18--2020-12-25,41,135760
682,157,1,2020-12-18--2020-12-25,Mistletoe And Holly - Remastered 1999,"72,25,080",Frank Sinatra,4953667,7faDzZnZYqTyYThx2sbHVQ,"['adult standards', 'easy listening', 'lounge']",1957-09,2020-12-18--2020-12-25,38,136427
683,159,1,2020-12-18--2020-12-25,Jingle Bells - Remastered 1999,"71,82,262",Frank Sinatra,4953667,4HEOgBHRCExyYVeTyrXsnL,"['adult standards', 'easy listening', 'lounge']",1957-09,2020-12-18--2020-12-25,36,120693
684,160,1,2020-12-18--2020-12-25,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),"71,70,169",Mariah Carey,6931357,1Ri9P0ZPrqr6h0REDRdJBd,"['dance pop', 'pop', 'r&b', 'urban contemporary']",04-12-2020,2020-12-18--2020-12-25,47,200467
685,161,1,2020-12-18--2020-12-25,Do You Hear What I Hear? - Remastered 2006,"71,49,158",Bing Crosby,359973,5aDoUmxBsbdpS16alksb5Z,"['adult standards', 'easy listening', 'lounge', 'swing', 'vocal jazz']",01-01-2006,2020-12-18--2020-12-25,44,165667
686,167,1,2020-12-18--2020-12-25,Hallelujah,"69,85,392",Pentatonix,3083825,0HZk0QsXPhMNAWNDR3rYE8,['a cappella'],06-12-2017,2020-12-18--2020-12-25,60,268960
687,175,1,2020-12-18--2020-12-25,This Christmas,"68,09,438",Donny Hathaway,424935,38xhBO2AKrJnjdjVnhJES6,"['chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul']",03-04-1990,2020-12-18--2020-12-25,42,231173
688,180,1,2020-12-18--2020-12-25,Winter Wonderland,"66,80,928",Tony Bennett,659472,6kkJlaBYdyFcwCg67hW40t,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",09-12-2014,2020-12-18--2020-12-25,29,149307
689,181,1,2020-12-18--2020-12-25,Christmas Tree Farm,"66,57,404",Taylor Swift,42227614,2mvabkN1i2gLnGAPUVdwek,"['pop', 'post-teen pop']",06-12-2019,2020-12-18--2020-12-25,52,228027
690,182,1,2020-12-18--2020-12-25,Cozy Little Christmas,"66,52,130",Katy Perry,18936929,02FaKXXL7KUtRc7K0k54tL,"['dance pop', 'pop', 'post-teen pop']",15-11-2018,2020-12-18--2020-12-25,41,182521
691,184,1,2020-12-18--2020-12-25,"Merry Christmas, Happy Holidays","66,35,128",*NSYNC,1564750,4v9WbaxW8HdjqfUiWYWsII,"['boy band', 'dance pop', 'pop', 'post-teen pop']",30-10-1998,2020-12-18--2020-12-25,41,255307
692,24,2,2020-12-11--2020-12-18,tolerate it,"66,35,109",Taylor Swift,42227614,0PurA4JVJ8YQgSVopY8fn6,"['pop', 'post-teen pop']",11-12-2020,"2020-12-18--2020-12-25
2020-12-11--2020-12-18",67,245440
693,192,1,2020-12-18--2020-12-25,Please Come Home for Christmas - 2013 Remaster,"64,00,108",Eagles,6896776,3QIoEi8Enr9uHffwInGIsC,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",1994,2020-12-18--2020-12-25,44,177440
694,197,1,2020-12-18--2020-12-25,My Kind Of Present,"62,78,993",Meghan Trainor,10606572,2rkb8ijsPapKDMEh0cSe8I,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",30-10-2020,2020-12-18--2020-12-25,41,161013
695,28,1,2020-12-11--2020-12-18,happiness,"1,62,13,589",Taylor Swift,42227614,73YUReisjb3A9ActdLLjJQ,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,65,315147
696,34,1,2020-12-11--2020-12-18,ivy,"1,45,19,547",Taylor Swift,42227614,19CSr8rwW05VJL2F91KFNK,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,66,260440
697,38,1,2020-12-11--2020-12-18,dorothea,"1,43,92,788",Taylor Swift,42227614,670fUmXf4KQekzbEgaXyPA,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,64,225880
698,39,1,2020-12-11--2020-12-18,coney island (feat. The National),"1,43,85,703",Taylor Swift,42227614,3k7ne7VmH43ZPWxPdvPUgR,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,64,275320
699,43,1,2020-12-11--2020-12-18,evermore (feat. Bon Iver),"1,38,10,722",Taylor Swift,42227614,3O5osWf1rSoKMwe6E9ZaXP,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,66,304107
700,45,1,2020-12-11--2020-12-18,long story short,"1,35,83,538",Taylor Swift,42227614,2o2sgVJIgFXk8GQjWTgI6U,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,66,215920
701,53,1,2020-12-11--2020-12-18,cowboy like me,"1,27,82,098",Taylor Swift,42227614,1XjHRolIXL2M1EEOUsGGR4,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,64,275040
702,57,1,2020-12-11--2020-12-18,marjorie,"1,22,34,761",Taylor Swift,42227614,12ntTeqEeTg7GAVpe8Mhpl,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,64,257773
703,70,1,2020-12-11--2020-12-18,closure,"1,12,45,393",Taylor Swift,42227614,35rdVq36LMHQX0Suw9a6tK,"['pop', 'post-teen pop']",11-12-2020,2020-12-11--2020-12-18,62,180653
704,74,1,2020-12-11--2020-12-18,She Knows This,"1,05,61,183",Kid Cudi,5002317,1xzUQMiCoY5pdego0pHMeV,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,64,216560
705,97,1,2020-12-11--2020-12-18,Another Day,"89,01,697",Kid Cudi,5002317,6myUpr3GDR80Dg3zqNTmmG,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,63,199787
706,126,1,2020-12-11--2020-12-18,"Solo Dolo, Pt. III","76,55,623",Kid Cudi,5002317,27oVCAziETRbNuo5A8LNpg,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,61,242267
707,129,1,2020-12-11--2020-12-18,Dive,"75,24,738",Kid Cudi,5002317,7Hc3YL8oDiAzbiAW32KXrw,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,60,148707
708,139,1,2020-12-11--2020-12-18,Heaven On Earth,"71,17,347",Kid Cudi,5002317,2koUj1Fn5TKFEkChSmBPIb,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,59,201093
709,147,1,2020-12-11--2020-12-18,Sad People,"68,65,689",Kid Cudi,5002317,4nuAslShoN77tq12fzwjUq,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,62,176027
710,152,1,2020-12-11--2020-12-18,Damaged,"67,63,705",Kid Cudi,5002317,2n7Ao4nyESBa5ti8gcAbBt,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,57,150853
711,17,3,2020-11-27--2020-12-04,YO VISTO ASÍ,"63,88,079",Bad Bunny,36177712,5fROvzNghPid8mbKNDYvpJ,"['latin', 'reggaeton', 'trap latino']",27-11-2020,"2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04",73,191526
712,183,1,2020-12-11--2020-12-18,Beautiful Trip,"61,08,393",Kid Cudi,5002317,4IIuCotvqijraSdnVLaFnM,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,54,37013
713,185,1,2020-12-11--2020-12-18,The Void,"60,68,816",Kid Cudi,5002317,2yg7MXp8nSPaf61HVkhEr3,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,2020-12-11--2020-12-18,61,325413
714,1,12,2020-07-24--2020-07-31,cardigan,"58,45,457",Taylor Swift,42227614,4R2kfaDFhslZEMJqAFNpdd,"['pop', 'post-teen pop']",24-07-2020,"2020-12-11--2020-12-18
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31",79,239560
715,74,1,2020-12-04--2020-12-11,Real Shit (with benny blanco),"93,25,928",Juice WRLD,19102888,3uVPLtkmDu8pDkYEAVqbgS,"['chicago rap', 'melodic rap']",02-12-2020,2020-12-04--2020-12-11,70,183783
716,104,1,2020-12-04--2020-12-11,Teach Me How To Love,"79,32,101",Shawn Mendes,33893352,5LZtB6nxvjIhUoElp3Zqk0,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",04-12-2020,2020-12-04--2020-12-11,68,202357
